Date,Expense Name,Amount,Account Number,Budget Category
2023-01-01,Salary Payment,3000.0,Checking,Salary
2023-01-01,Emergency Fund Contribution,-456.07617882570656,Checking,Savings
2023-01-01,Nike Shoes,280.6071327031603,Checking,Shopping & Miscellaneous
2023-01-01,Local Theatre Play,168.9540869123964,Checking,Entertainment
2023-01-01,Monthly Rent - Apartment,1139.9065480990782,Checking,Rent
2023-01-02,Emergency Fund Contribution,-543.1472135922996,Checking,Savings
2023-01-02,Electricity Bill - PowerCo,195.57735274730018,Checking,Utilities & Bills
2023-01-02,Chipotle,652.0669879631552,Checking,Groceries & Dining
2023-01-04,Internet Bill - Comcast,205.72507077113957,Checking,Utilities & Bills
2023-01-05,Transfer to Savings Account,-574.7740245352129,Checking,Savings
2023-01-05,Zara Clothing,218.77095902246793,Checking,Shopping & Miscellaneous
2023-01-08,Starbucks Coffee,532.0616501643852,Checking,Groceries & Dining
2023-01-09,Trader Joe's,668.0117826456537,Checking,Groceries & Dining
2023-01-10,Water Bill - City Water,200.81328945084826,Checking,Utilities & Bills
2023-01-12,Sephora Makeup,233.85194814912137,Checking,Shopping & Miscellaneous
2023-01-12,Amazon Purchase,234.93018988768335,Checking,Shopping & Miscellaneous
2023-01-12,Mobile Plan - Verizon,263.2296117872958,Checking,Utilities & Bills
2023-01-13,Sephora Makeup,223.2273874538959,Checking,Shopping & Miscellaneous
2023-01-13,Sephora Makeup,262.9591909235135,Checking,Shopping & Miscellaneous
2023-01-14,Amazon Prime Video,140.3983023635032,Checking,Entertainment
2023-01-14,Transfer to Savings Account,-452.6823824401179,Checking,Savings
2023-01-15,Transfer to Savings Account,-458.32152252638997,Checking,Savings
2023-01-15,Escape Room Experience,170.5270196384687,Checking,Entertainment
2023-01-15,IKEA Furniture,274.5589095387898,Checking,Shopping & Miscellaneous
2023-01-16,Escape Room Experience,135.1885320262573,Checking,Entertainment
2023-01-17,Investment Deposit,-554.0237503358337,Checking,Savings
2023-01-18,Etsy Handmade Goods,267.7587394979717,Checking,Shopping & Miscellaneous
2023-01-18,Transfer to Savings Account,-529.4383697053884,Checking,Savings
2023-01-19,Concert Tickets,170.91828340341138,Checking,Entertainment
2023-01-20,Sephora Makeup,228.849585808879,Checking,Shopping & Miscellaneous
2023-01-21,Internet Bill - Comcast,198.95811001441953,Checking,Utilities & Bills
2023-01-21,Amusement Park Ticket,130.50217116079028,Checking,Entertainment
